Watching for file changes with StatReloader
[16/Mar/2020 03:24:27] "GET /static/admin/css/widgets.css HTTP/1.1" 200 10322
[16/Mar/2020 03:24:27] "GET /static/admin/img/icon-unknown.svg HTTP/1.1" 200 655
[16/Mar/2020 03:24:27] "GET /static/admin/img/icon-unknown-alt.svg HTTP/1.1" 200 655
[16/Mar/2020 03:24:27] "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[16/Mar/2020 03:24:27] "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[16/Mar/2020 03:24:27] "GET /static/admin/img/selector-icons.svg HTTP/1.1" 200 3291
[16/Mar/2020 03:24:29] "GET /admin/auth/user/ HTTP/1.1" 200 6806
[16/Mar/2020 03:24:31] "GET /admin/ HTTP/1.1" 200 6432
[16/Mar/2020 03:24:32] "GET /admin/sheet/signup/ HTTP/1.1" 200 3197
[16/Mar/2020 03:24:33] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[16/Mar/2020 03:24:34] "GET /admin/sheet/signup/add/ HTTP/1.1" 200 6652
[16/Mar/2020 03:24:34] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[16/Mar/2020 03:24:44] "POST /admin/sheet/signup/add/ HTTP/1.1" 302 0
[16/Mar/2020 03:24:44] "GET /admin/sheet/signup/ HTTP/1.1" 200 4625
[16/Mar/2020 03:24:44] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[16/Mar/2020 03:24:48] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:24:49] "GET /main/ HTTP/1.1" 200 2020
[16/Mar/2020 03:24:53] "GET /apply/ HTTP/1.1" 200 5783
[16/Mar/2020 03:24:53] "GET /static/pro.mp4 HTTP/1.1" 200 12189696
[16/Mar/2020 03:24:53] "GET /static/login.jpg HTTP/1.1" 200 157428
[16/Mar/2020 03:24:55] "GET /profile/ HTTP/1.1" 200 7844
[16/Mar/2020 03:25:05] "POST /profile/ HTTP/1.1" 302 0
[16/Mar/2020 03:25:05] "GET /main/ HTTP/1.1" 200 2020
[16/Mar/2020 03:25:08] "GET /view/ HTTP/1.1" 200 6057
[16/Mar/2020 03:25:08] "GET /static/pro.mp4 HTTP/1.1" 200 8560640
[16/Mar/2020 03:25:10] "GET /apply/ HTTP/1.1" 200 5783
[16/Mar/2020 03:25:11] "GET /profile/ HTTP/1.1" 200 7865
[16/Mar/2020 03:25:12] "GET /recruit/ HTTP/1.1" 200 908
[16/Mar/2020 03:25:14] "GET /profile/ HTTP/1.1" 200 7865
[16/Mar/2020 03:25:16] "GET /logout/ HTTP/1.1" 302 0
[16/Mar/2020 03:25:16] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 03:25:18] "GET /accounts/login/ HTTP/1.1" 200 4920
[16/Mar/2020 03:25:18] "GET /static/pro.mp4 HTTP/1.1" 200 5574656
[16/Mar/2020 03:25:44] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:25:46] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:25:48] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 03:25:48] "GET /static/css/base.css HTTP/1.1" 200 2166
[16/Mar/2020 03:25:49] "GET /static/main_img.png HTTP/1.1" 200 24850
[16/Mar/2020 03:25:49] "GET /static/like.jpg HTTP/1.1" 404 1655
[16/Mar/2020 03:25:51] "GET /accounts/login/ HTTP/1.1" 200 4920
[16/Mar/2020 03:25:51] "GET /static/pro.mp4 HTTP/1.1" 200 15212544
[16/Mar/2020 03:25:51] "GET /static/123.jpg HTTP/1.1" 200 766914
[16/Mar/2020 03:25:55] "GET /signup/ HTTP/1.1" 200 7473
[16/Mar/2020 03:26:07] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:26:08] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 03:26:13] "GET /main/ HTTP/1.1" 200 1788
[16/Mar/2020 03:26:13] "GET /static/pro.mp4 HTTP/1.1" 200 13471744
[16/Mar/2020 03:26:14] "GET /accounts/login/ HTTP/1.1" 200 4920
[16/Mar/2020 03:26:14] "GET /static/pro.mp4 HTTP/1.1" 200 5025792
[16/Mar/2020 03:26:19] "POST /accounts/login/ HTTP/1.1" 302 0
[16/Mar/2020 03:26:19] "GET /apply/ HTTP/1.1" 200 5783
[16/Mar/2020 03:26:20] "POST /signup/ HTTP/1.1" 302 0
[16/Mar/2020 03:26:20] "GET / HTTP/1.1" 200 111
[16/Mar/2020 03:26:23] "GET /main/ HTTP/1.1" 200 1926
[16/Mar/2020 03:26:30] "GET /apply/ HTTP/1.1" 200 5689
[16/Mar/2020 03:26:30] "GET /static/pro.mp4 HTTP/1.1" 200 22175744
[16/Mar/2020 03:26:30] "GET /static/login.jpg HTTP/1.1" 200 157428
[16/Mar/2020 03:26:38] "GET /admin/ HTTP/1.1" 200 6718
[16/Mar/2020 03:26:38] "GET /main/ HTTP/1.1" 200 1926
[16/Mar/2020 03:26:40] "GET /admin/auth/user/ HTTP/1.1" 200 7257
[16/Mar/2020 03:26:40] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[16/Mar/2020 03:26:40] "GET /static/admin/img/icon-no.svg HTTP/1.1" 200 560
[16/Mar/2020 03:26:46] "GET /admin/auth/user/10/change/ HTTP/1.1" 200 14856
[16/Mar/2020 03:26:46] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
[16/Mar/2020 03:26:49] "POST /admin/auth/user/10/change/ HTTP/1.1" 302 0
[16/Mar/2020 03:26:49] "GET /admin/auth/user/ HTTP/1.1" 200 7454
[16/Mar/2020 03:26:50] "GET /admin/jsi18n/ HTTP/1.1" 200 8330
